,Area,Item,Element,Unit,Y2005,Y2017
12814,France,Sorghum,Production,tonnes,263479.0,325792.0
12847,France,Triticale,Production,tonnes,1797106.0,1579317.0
12862,France,Wheat,Production,tonnes,36886103.0,38677896.0
13532,Germany,Barley,Production,tonnes,11613800.0,10853400.0
13607,Germany,Lentils,Production,tonnes,,
13613,Germany,Linseed,Production,tonnes,25370.0,7000.0
13616,Germany,Lupins,Production,tonnes,50000.0,52800.0
13619,Germany,Maize,Production,tonnes,4082700.0,4547600.0
13628,Germany,Oats,Production,tonnes,963600.0,576500.0
13668,Germany,Rapeseed,Production,tonnes,5051700.0,4268400.0
13674,Germany,Rye,Production,tonnes,2793500.0,2737400.0
13698,Germany,Triticale,Production,tonnes,2675900.0,2317000.0
13707,Germany,Vetches,Production,tonnes,,
13713,Germany,Wheat,Production,tonnes,23692700.0,24481600.0
13973,Greece,Barley,Production,tonnes,227464.0,376543.0
13987,Greece,Buckwheat,Production,tonnes,,
14078,Greece,Lentils,Production,tonnes,1705.0,13799.0
14084,Greece,Linseed,Production,tonnes,,
14087,Greece,Lupins,Production,tonnes,295.0,18501.0
14090,Greece,Maize,Production,tonnes,2546838.0,1461730.0
14102,Greece,Millet,Production,tonnes,0.0,120.0
14108,Greece,Oats,Production,tonnes,80867.0,109735.0
14111,Greece,Olives,Production,tonnes,2628911.0,2837778.0
14153,Greece,Rapeseed,Production,tonnes,5248.0,18854.0
14161,Greece,Rye,Production,tonnes,32685.0,26142.0
14170,Greece,Sorghum,Production,tonnes,45.0,487.0
14202,Greece,Triticale,Production,tonnes,,45500.0
14211,Greece,Vetches,Production,tonnes,12157.0,2276.0
14220,Greece,Wheat,Production,tonnes,2018524.0,1356772.0
15685,Hungary,Barley,Production,tonnes,1190447.0,1416376.0
15699,Hungary,Buckwheat,Production,tonnes,463.0,909.0
15705,Hungary,Canary seed,Production,tonnes,12934.0,5734.0
15786,Hungary,Lentils,Production,tonnes,568.0,20.0
15792,Hungary,Linseed,Production,tonnes,2818.0,1549.0
15795,Hungary,Lupins,Production,tonnes,391.0,395.0
15798,Hungary,Maize,Production,tonnes,9050004.0,6739186.0
15807,Hungary,Millet,Production,tonnes,15387.0,3230.0
15814,Hungary,Oats,Production,tonnes,157354.0,94809.0
15856,Hungary,Rapeseed,Production,tonnes,282713.0,932139.0
15868,Hungary,Rye,Production,tonnes,107308.0,87060.0
15874,Hungary,Sorghum,Production,tonnes,12416.0,24548.0
15901,Hungary,Triticale,Production,tonnes,567738.0,373812.0
15907,Hungary,Vetches,Production,tonnes,100.0,12.0
15916,Hungary,Wheat,Production,tonnes,5088219.0,5246258.0
17045,Ireland,Barley,Production,tonnes,1024400.0,1505600.0
17056,Ireland,Buckwheat,Production,tonnes,,
17095,Ireland,Oats,Production,tonnes,112800.0,205000.0
17112,Ireland,Rapeseed,Production,tonnes,14200.0,41700.0
17118,Ireland,Rye,Production,tonnes,549.0,629.0
17138,Ireland,Wheat,Production,tonnes,802700.0,681500.0
17459,Italy,Barley,Production,tonnes,1214054.0,984281.0
17566,Italy,Lentils,Production,tonnes,1234.0,3663.0
17572,Italy,Linseed,Production,tonnes,2000.0,2000.0
17575,Italy,Lupins,Production,tonnes,3500.0,4721.0
17578,Italy,Maize,Production,tonnes,10427930.0,6048499.0
17593,Italy,Oats,Production,tonnes,429153.0,229041.0
17597,Italy,Olives,Production,tonnes,3774812.0,2597974.0
17644,Italy,Rapeseed,Production,tonnes,6079.0,41444.0
17653,Italy,Rye,Production,tonnes,7876.0,11097.0
17662,Italy,Sorghum,Production,tonnes,184915.0,240694.0
17694,Italy,Triticale,Production,tonnes,,77654.0
17703,Italy,Vetches,Production,tonnes,8000.0,9101.0
17712,Italy,Wheat,Production,tonnes,7717129.0,6966465.0
19555,Latvia,Barley,Production,tonnes,365800.0,240900.0
19567,Latvia,Buckwheat,Production,tonnes,9900.0,17100.0
19616,Latvia,Linseed,Production,tonnes,600.0,300.0
19619,Latvia,Lupins,Production,tonnes,4.0,200.0
19626,Latvia,Oats,Production,tonnes,122000.0,134000.0
19661,Latvia,Rapeseed,Production,tonnes,145700.0,326200.0
19667,Latvia,Rye,Production,tonnes,87200.0,129400.0
19681,Latvia,Triticale,Production,tonnes,31800.0,26000.0
19687,Latvia,Vetches,Production,tonnes,200.0,200.0
19690,Latvia,Wheat,Production,tonnes,676500.0,2138800.0
20305,Lithuania,Barley,Production,tonnes,948300.0,519732.0
20323,Lithuania,Buckwheat,Production,tonnes,15700.0,53221.0
20374,Lithuania,Linseed,Production,tonnes,2000.0,737.0
20377,Lithuania,Lupins,Production,tonnes,4900.0,3745.0
20380,Lithuania,Maize,Production,tonnes,4900.0,56974.0
20389,Lithuania,Oats,Production,tonnes,114100.0,195928.0
20422,Lithuania,Rapeseed,Production,tonnes,201200.0,543518.0
20428,Lithuania,Rye,Production,tonnes,108300.0,63066.0
20443,Lithuania,Triticale,Production,tonnes,201100.0,247505.0
20452,Lithuania,Vetches,Production,tonnes,4500.0,621.0
20455,Lithuania,Wheat,Production,tonnes,1379400.0,3917372.0
20494,Luxembourg,Barley,Production,tonnes,52853.0,34951.0
20537,Luxembourg,Maize,Production,tonnes,2060.0,695.0
20542,Luxembourg,Oats,Production,tonnes,7734.0,5920.0
20566,Luxembourg,Rapeseed,Production,tonnes,14704.0,11317.0
20572,Luxembourg,Rye,Production,tonnes,5715.0,4635.0
20581,Luxembourg,Triticale,Production,tonnes,18530.0,23691.0
20590,Luxembourg,Wheat,Production,tonnes,71745.0,77781.0
21612,Malta,Barley,Production,tonnes,2200.0,2174.0
21680,Malta,Olives,Production,tonnes,3.0,60.0
21722,Malta,Vetches,Production,tonnes,694.0,622.0
21728,Malta,Wheat,Production,tonnes,10233.0,12413.0
23873,Netherlands,Barley,Production,tonnes,307100.0,204316.0
23894,Netherlands,Canary seed,Production,tonnes,,
23943,Netherlands,Linseed,Production,tonnes,3641.0,1496.0
23946,Netherlands,Maize,Production,tonnes,183000.0,116711.0
23955,Netherlands,Oats,Production,tonnes,9472.0,6728.0
23989,Netherlands,Rapeseed,Production,tonnes,7736.0,7894.0
23995,Netherlands,Rye,Production,tonnes,10885.0,4385.0
23997,Netherlands,Sorghum,Production,tonnes,,
24014,Netherlands,Triticale,Production,tonnes,19900.0,6395.0
24023,Netherlands,Wheat,Production,tonnes,1174686.0,1054151.0
27080,Poland,Barley,Production,tonnes,3581156.0,3793032.0
27098,Poland,Buckwheat,Production,tonnes,72096.0,113113.0
27165,Poland,Linseed,Production,tonnes,1685.0,9100.0
27168,Poland,Lupins,Production,tonnes,40913.0,168678.0
27171,Poland,Maize,Production,tonnes,1945402.0,4021592.0
27177,Poland,Millet,Production,tonnes,7066.0,30785.0
27183,Poland,Oats,Production,tonnes,1324134.0,1464606.0
27216,Poland,Rapeseed,Production,tonnes,1449756.0,2697265.0
27222,Poland,Rye,Production,tonnes,3404312.0,2673642.0
27246,Poland,Triticale,Production,tonnes,3903000.0,5312061.0
27255,Poland,Vetches,Production,tonnes,3848.0,10414.0
27261,Poland,Wheat,Production,tonnes,8771434.0,11665702.0
27315,Portugal,Barley,Production,tonnes,26271.0,55261.0
27333,Portugal,Canary seed,Production,tonnes,,
27417,Portugal,Linseed,Production,tonnes,,
27420,Portugal,Lupins,Production,tonnes,15.0,6.0
27423,Portugal,Maize,Production,tonnes,514415.0,745123.0
27429,Portugal,Millet,Production,tonnes,,
27436,Portugal,Oats,Production,tonnes,25151.0,45856.0
27441,Portugal,Olives,Production,tonnes,211070.0,876215.0
27485,Portugal,Rye,Production,tonnes,19747.0,14439.0
27522,Portugal,Triticale,Production,tonnes,30021.0,25840.0
27539,Portugal,Wheat,Production,tonnes,81530.0,59610.0
28477,Romania,Barley,Production,tonnes,1079148.0,1906703.0
28566,Romania,Lentils,Production,tonnes,,
28572,Romania,Linseed,Production,tonnes,55.0,3619.0
28575,Romania,Maize,Production,tonnes,10388499.0,14326097.0
28585,Romania,Millet,Production,tonnes,,
28594,Romania,Oats,Production,tonnes,377456.0,407795.0
28630,Romania,Rapeseed,Production,tonnes,147566.0,1673327.0
28639,Romania,Rye,Production,tonnes,48962.0,28158.0
28645,Romania,Sorghum,Production,tonnes,1912.0,54282.0
28673,Romania,Triticale,Production,tonnes,94142.0,331567.0
28688,Romania,Wheat,Production,tonnes,7340664.0,10034955.0
30669,Slovakia,Barley,Production,tonnes,739311.0,545285.0
30684,Slovakia,Buckwheat,Production,tonnes,409.0,367.0
30755,Slovakia,Lentils,Production,tonnes,1262.0,597.0
30761,Slovakia,Linseed,Production,tonnes,2674.0,1593.0
30764,Slovakia,Lupins,Production,tonnes,67.0,1911.0
30767,Slovakia,Maize,Production,tonnes,1074040.0,1066188.0
30776,Slovakia,Millet,Production,tonnes,1559.0,706.0
30786,Slovakia,Oats,Production,tonnes,38240.0,34937.0
30822,Slovakia,Rapeseed,Production,tonnes,235066.0,448665.0
30828,Slovakia,Rye,Production,tonnes,68588.0,32458.0
30831,Slovakia,Sorghum,Production,tonnes,2619.0,1616.0
30855,Slovakia,Triticale,Production,tonnes,52366.0,31503.0
30864,Slovakia,Vetches,Production,tonnes,123.0,208.0
30873,Slovakia,Wheat,Production,tonnes,1607868.0,1770659.0
30924,Slovenia,Barley,Production,tonnes,61239.0,97929.0
30941,Slovenia,Buckwheat,Production,tonnes,1453.0,2909.0
31006,Slovenia,Lentils,Production,tonnes,,
31012,Slovenia,Maize,Production,tonnes,351168.0,272177.0
31015,Slovenia,Millet,Production,tonnes,898.0,368.0
31023,Slovenia,Oats,Production,tonnes,7629.0,4641.0
31026,Slovenia,Olives,Production,tonnes,2687.0,1685.0
31061,Slovenia,Rapeseed,Production,tonnes,5352.0,8999.0
31070,Slovenia,Rye,Production,tonnes,4092.0,4415.0
31072,Slovenia,Sorghum,Production,tonnes,,
31093,Slovenia,Triticale,Production,tonnes,7846.0,22923.0
31099,Slovenia,Vetches,Production,tonnes,,
31105,Slovenia,Wheat,Production,tonnes,141293.0,140961.0
31770,Spain,Barley,Production,tonnes,4626059.0,5785944.0
31794,Spain,Canary seed,Production,tonnes,35.0,299.0
31901,Spain,Lentils,Production,tonnes,24761.0,24357.0
31907,Spain,Linseed,Production,tonnes,7000.0,11.0
31910,Spain,Lupins,Production,tonnes,5627.0,3127.0
31913,Spain,Maize,Production,tonnes,3981370.0,3775645.0
31919,Spain,Millet,Production,tonnes,696.0,1540.0
31928,Spain,Oats,Production,tonnes,542108.0,843259.0
31931,Spain,Olives,Production,tonnes,4021720.0,6549499.0
31984,Spain,Rapeseed,Production,tonnes,4113.0,153665.0
31996,Spain,Rye,Production,tonnes,129096.0,139178.0
32005,Spain,Sorghum,Production,tonnes,22119.0,30138.0
32041,Spain,Triticale,Production,tonnes,52130.0,355840.0
32050,Spain,Vetches,Production,tonnes,44435.0,72231.0
32059,Spain,Wheat,Production,tonnes,4026694.0,4875957.0
32791,Sweden,Barley,Production,tonnes,1592900.0,1635200.0
32842,Sweden,Linseed,Production,tonnes,15700.0,7800.0
32848,Sweden,Oats,Production,tonnes,746300.0,676400.0
32869,Sweden,Rapeseed,Production,tonnes,198200.0,362700.0
32875,Sweden,Rye,Production,tonnes,112300.0,141800.0
32893,Sweden,Triticale,Production,tonnes,271500.0,156500.0
32901,Sweden,Vetches,Production,tonnes,,
32904,Sweden,Wheat,Production,tonnes,2246800.0,3298600.0
