,Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y2005,Y2017
17578,106,Italy,56,Maize,5510,Production,tonnes,10427930.0,6048499.0
17593,106,Italy,75,Oats,5510,Production,tonnes,429153.0,229041.0
17597,106,Italy,260,Olives,5510,Production,tonnes,3774812.0,2597974.0
17644,106,Italy,270,Rapeseed,5510,Production,tonnes,6079.0,41444.0
17653,106,Italy,71,Rye,5510,Production,tonnes,7876.0,11097.0
17662,106,Italy,83,Sorghum,5510,Production,tonnes,184915.0,240694.0
17694,106,Italy,97,Triticale,5510,Production,tonnes,,77654.0
17703,106,Italy,205,Vetches,5510,Production,tonnes,8000.0,9101.0
17712,106,Italy,15,Wheat,5510,Production,tonnes,7717129.0,6966465.0
19555,119,Latvia,44,Barley,5510,Production,tonnes,365800.0,240900.0
19567,119,Latvia,89,Buckwheat,5510,Production,tonnes,9900.0,17100.0
19616,119,Latvia,333,Linseed,5510,Production,tonnes,600.0,300.0
19619,119,Latvia,210,Lupins,5510,Production,tonnes,4.0,200.0
19626,119,Latvia,75,Oats,5510,Production,tonnes,122000.0,134000.0
19661,119,Latvia,270,Rapeseed,5510,Production,tonnes,145700.0,326200.0
19667,119,Latvia,71,Rye,5510,Production,tonnes,87200.0,129400.0
19681,119,Latvia,97,Triticale,5510,Production,tonnes,31800.0,26000.0
19687,119,Latvia,205,Vetches,5510,Production,tonnes,200.0,200.0
19690,119,Latvia,15,Wheat,5510,Production,tonnes,676500.0,2138800.0
20305,126,Lithuania,44,Barley,5510,Production,tonnes,948300.0,519732.0
20323,126,Lithuania,89,Buckwheat,5510,Production,tonnes,15700.0,53221.0
20374,126,Lithuania,333,Linseed,5510,Production,tonnes,2000.0,737.0
20377,126,Lithuania,210,Lupins,5510,Production,tonnes,4900.0,3745.0
20380,126,Lithuania,56,Maize,5510,Production,tonnes,4900.0,56974.0
20389,126,Lithuania,75,Oats,5510,Production,tonnes,114100.0,195928.0
20422,126,Lithuania,270,Rapeseed,5510,Production,tonnes,201200.0,543518.0
20428,126,Lithuania,71,Rye,5510,Production,tonnes,108300.0,63066.0
20443,126,Lithuania,97,Triticale,5510,Production,tonnes,201100.0,247505.0
20452,126,Lithuania,205,Vetches,5510,Production,tonnes,4500.0,621.0
20455,126,Lithuania,15,Wheat,5510,Production,tonnes,1379400.0,3917372.0
20494,256,Luxembourg,44,Barley,5510,Production,tonnes,52853.0,34951.0
20537,256,Luxembourg,56,Maize,5510,Production,tonnes,2060.0,695.0
20542,256,Luxembourg,75,Oats,5510,Production,tonnes,7734.0,5920.0
20566,256,Luxembourg,270,Rapeseed,5510,Production,tonnes,14704.0,11317.0
20572,256,Luxembourg,71,Rye,5510,Production,tonnes,5715.0,4635.0
20581,256,Luxembourg,97,Triticale,5510,Production,tonnes,18530.0,23691.0
20590,256,Luxembourg,15,Wheat,5510,Production,tonnes,71745.0,77781.0
21612,134,Malta,44,Barley,5510,Production,tonnes,2200.0,2174.0
21680,134,Malta,260,Olives,5510,Production,tonnes,3.0,60.0
21722,134,Malta,205,Vetches,5510,Production,tonnes,694.0,622.0
21728,134,Malta,15,Wheat,5510,Production,tonnes,10233.0,12413.0
23873,150,Netherlands,44,Barley,5510,Production,tonnes,307100.0,204316.0
23894,150,Netherlands,101,Canary seed,5510,Production,tonnes,,
23943,150,Netherlands,333,Linseed,5510,Production,tonnes,3641.0,1496.0
23946,150,Netherlands,56,Maize,5510,Production,tonnes,183000.0,116711.0
23955,150,Netherlands,75,Oats,5510,Production,tonnes,9472.0,6728.0
23989,150,Netherlands,270,Rapeseed,5510,Production,tonnes,7736.0,7894.0
23995,150,Netherlands,71,Rye,5510,Production,tonnes,10885.0,4385.0
23997,150,Netherlands,83,Sorghum,5510,Production,tonnes,,
24014,150,Netherlands,97,Triticale,5510,Production,tonnes,19900.0,6395.0
24023,150,Netherlands,15,Wheat,5510,Production,tonnes,1174686.0,1054151.0
27080,173,Poland,44,Barley,5510,Production,tonnes,3581156.0,3793032.0
27098,173,Poland,89,Buckwheat,5510,Production,tonnes,72096.0,113113.0
27165,173,Poland,333,Linseed,5510,Production,tonnes,1685.0,9100.0
27168,173,Poland,210,Lupins,5510,Production,tonnes,40913.0,168678.0
27171,173,Poland,56,Maize,5510,Production,tonnes,1945402.0,4021592.0
27177,173,Poland,79,Millet,5510,Production,tonnes,7066.0,30785.0
27183,173,Poland,75,Oats,5510,Production,tonnes,1324134.0,1464606.0
27216,173,Poland,270,Rapeseed,5510,Production,tonnes,1449756.0,2697265.0
27222,173,Poland,71,Rye,5510,Production,tonnes,3404312.0,2673642.0
27246,173,Poland,97,Triticale,5510,Production,tonnes,3903000.0,5312061.0
27255,173,Poland,205,Vetches,5510,Production,tonnes,3848.0,10414.0
27261,173,Poland,15,Wheat,5510,Production,tonnes,8771434.0,11665702.0
27315,174,Portugal,44,Barley,5510,Production,tonnes,26271.0,55261.0
27333,174,Portugal,101,Canary seed,5510,Production,tonnes,,
27417,174,Portugal,333,Linseed,5510,Production,tonnes,,
27420,174,Portugal,210,Lupins,5510,Production,tonnes,15.0,6.0
27423,174,Portugal,56,Maize,5510,Production,tonnes,514415.0,745123.0
27429,174,Portugal,79,Millet,5510,Production,tonnes,,
27436,174,Portugal,75,Oats,5510,Production,tonnes,25151.0,45856.0
27441,174,Portugal,260,Olives,5510,Production,tonnes,211070.0,876215.0
27485,174,Portugal,71,Rye,5510,Production,tonnes,19747.0,14439.0
27522,174,Portugal,97,Triticale,5510,Production,tonnes,30021.0,25840.0
27539,174,Portugal,15,Wheat,5510,Production,tonnes,81530.0,59610.0
28477,183,Romania,44,Barley,5510,Production,tonnes,1079148.0,1906703.0
28566,183,Romania,201,Lentils,5510,Production,tonnes,,
28572,183,Romania,333,Linseed,5510,Production,tonnes,55.0,3619.0
28575,183,Romania,56,Maize,5510,Production,tonnes,10388499.0,14326097.0
28585,183,Romania,79,Millet,5510,Production,tonnes,,
28594,183,Romania,75,Oats,5510,Production,tonnes,377456.0,407795.0
28630,183,Romania,270,Rapeseed,5510,Production,tonnes,147566.0,1673327.0
28639,183,Romania,71,Rye,5510,Production,tonnes,48962.0,28158.0
28645,183,Romania,83,Sorghum,5510,Production,tonnes,1912.0,54282.0
28673,183,Romania,97,Triticale,5510,Production,tonnes,94142.0,331567.0
28688,183,Romania,15,Wheat,5510,Production,tonnes,7340664.0,10034955.0
30669,199,Slovakia,44,Barley,5510,Production,tonnes,739311.0,545285.0
30684,199,Slovakia,89,Buckwheat,5510,Production,tonnes,409.0,367.0
30755,199,Slovakia,201,Lentils,5510,Production,tonnes,1262.0,597.0
30761,199,Slovakia,333,Linseed,5510,Production,tonnes,2674.0,1593.0
30764,199,Slovakia,210,Lupins,5510,Production,tonnes,67.0,1911.0
30767,199,Slovakia,56,Maize,5510,Production,tonnes,1074040.0,1066188.0
30776,199,Slovakia,79,Millet,5510,Production,tonnes,1559.0,706.0
30786,199,Slovakia,75,Oats,5510,Production,tonnes,38240.0,34937.0
30822,199,Slovakia,270,Rapeseed,5510,Production,tonnes,235066.0,448665.0
30828,199,Slovakia,71,Rye,5510,Production,tonnes,68588.0,32458.0
30831,199,Slovakia,83,Sorghum,5510,Production,tonnes,2619.0,1616.0
30855,199,Slovakia,97,Triticale,5510,Production,tonnes,52366.0,31503.0
30864,199,Slovakia,205,Vetches,5510,Production,tonnes,123.0,208.0
30873,199,Slovakia,15,Wheat,5510,Production,tonnes,1607868.0,1770659.0
30924,198,Slovenia,44,Barley,5510,Production,tonnes,61239.0,97929.0
30941,198,Slovenia,89,Buckwheat,5510,Production,tonnes,1453.0,2909.0
31006,198,Slovenia,201,Lentils,5510,Production,tonnes,,
31012,198,Slovenia,56,Maize,5510,Production,tonnes,351168.0,272177.0
31015,198,Slovenia,79,Millet,5510,Production,tonnes,898.0,368.0
31023,198,Slovenia,75,Oats,5510,Production,tonnes,7629.0,4641.0
31026,198,Slovenia,260,Olives,5510,Production,tonnes,2687.0,1685.0
31061,198,Slovenia,270,Rapeseed,5510,Production,tonnes,5352.0,8999.0
31070,198,Slovenia,71,Rye,5510,Production,tonnes,4092.0,4415.0
31072,198,Slovenia,83,Sorghum,5510,Production,tonnes,,
31093,198,Slovenia,97,Triticale,5510,Production,tonnes,7846.0,22923.0
31099,198,Slovenia,205,Vetches,5510,Production,tonnes,,
31105,198,Slovenia,15,Wheat,5510,Production,tonnes,141293.0,140961.0
31770,203,Spain,44,Barley,5510,Production,tonnes,4626059.0,5785944.0
31794,203,Spain,101,Canary seed,5510,Production,tonnes,35.0,299.0
31901,203,Spain,201,Lentils,5510,Production,tonnes,24761.0,24357.0
31907,203,Spain,333,Linseed,5510,Production,tonnes,7000.0,11.0
31910,203,Spain,210,Lupins,5510,Production,tonnes,5627.0,3127.0
31913,203,Spain,56,Maize,5510,Production,tonnes,3981370.0,3775645.0
31919,203,Spain,79,Millet,5510,Production,tonnes,696.0,1540.0
31928,203,Spain,75,Oats,5510,Production,tonnes,542108.0,843259.0
31931,203,Spain,260,Olives,5510,Production,tonnes,4021720.0,6549499.0
31984,203,Spain,270,Rapeseed,5510,Production,tonnes,4113.0,153665.0
31996,203,Spain,71,Rye,5510,Production,tonnes,129096.0,139178.0
32005,203,Spain,83,Sorghum,5510,Production,tonnes,22119.0,30138.0
32041,203,Spain,97,Triticale,5510,Production,tonnes,52130.0,355840.0
32050,203,Spain,205,Vetches,5510,Production,tonnes,44435.0,72231.0
32059,203,Spain,15,Wheat,5510,Production,tonnes,4026694.0,4875957.0
32791,210,Sweden,44,Barley,5510,Production,tonnes,1592900.0,1635200.0
32842,210,Sweden,333,Linseed,5510,Production,tonnes,15700.0,7800.0
32848,210,Sweden,75,Oats,5510,Production,tonnes,746300.0,676400.0
32869,210,Sweden,270,Rapeseed,5510,Production,tonnes,198200.0,362700.0
32875,210,Sweden,71,Rye,5510,Production,tonnes,112300.0,141800.0
32893,210,Sweden,97,Triticale,5510,Production,tonnes,271500.0,156500.0
32901,210,Sweden,205,Vetches,5510,Production,tonnes,,
32904,210,Sweden,15,Wheat,5510,Production,tonnes,2246800.0,3298600.0
